WAVE,NSE
NIFTY_I,NIFTY
BANKNIFTY_I,BANKNIFTY
ABB,ABB
ABFRL,ABFRL
ACC,ACC
ADANIENT,ADANIENT
ADANIPORTS,ADANIPORTS
ADANIPOWER,ADANIPOWER
AIAENG,AIAENG
AJANTPHARM,AJANTPHARM
ALKEM,ALKEM
AMARAJABAT,AMARAJABAT
AMBUJACEM,AMBUJACEM
APOLLOHOSP,APOLLOHOSP
APOLLOTYRE,APOLLOTYRE
ARVIND,ARVIND
ASHOKLEY,ASHOKLEY
ASIANPAINT,ASIANPAINT
AUBANK,AUBANK
AUROPHARMA,AUROPHARMA
AXISBANK,AXISBANK
BAJAJ_AUTO,BAJAJ-AUTO
BAJAJFINSV,BAJAJFINSV
BAJFINANCE,BAJFINANCE
BALKRISIND,BALKRISIND
BANKBARODA,BANKBARODA
BANKINDIA,BANKINDIA
BATAINDIA,BATAINDIA
BEL,BEL
BERGEPAINT,BERGEPAINT
BHARATFIN,BHARATFIN
BHARATFORG,BHARATFORG
BHARTIARTL,BHARTIARTL
BHEL,BHEL
BIOCON,BIOCON
BOSCHLTD,BOSCHLTD
BPCL,BPCL
BRITANNIA,BRITANNIA
CADILAHC,CADILAHC
CANBK,CANBK
CASTROLIND,CASTROLIND
CENTRALBK,CENTRALBK
CENTURYTEX,CENTURYTEX
CHOLAFIN,CHOLAFIN
CIPLA,CIPLA
COALINDIA,COALINDIA
COLPAL,COLPAL
CONCOR,CONCOR
COROMANDEL,COROMANDEL
CRISIL,CRISIL
CROMPTON,CROMPTON
CUMMINSIND,CUMMINSIND
DABUR,DABUR
DALMIABHA,DALMIABHA
DHFL,DHFL
DISHTV,DISHTV
DIVISLAB,DIVISLAB
DLF,DLF
DMART,DMART
DRREDDY,DRREDDY
EDELWEISS,EDELWEISS
EICHERMOT,EICHERMOT
EMAMILTD,EMAMILTD
ENDURANCE,ENDURANCE
ENGINERSIN,ENGINERSIN
EXIDEIND,EXIDEIND
FEDERALBNK,FEDERALBNK
GAIL,GAIL
GLAXO,GLAXO
GLENMARK,GLENMARK
GMRINFRA,GMRINFRA
GODREJCP,GODREJCP
GODREJIND,GODREJIND
GPPL,GPPL
GRUH,GRUH
GSKCONS,GSKCONS
GSPL,GSPL
HAVELLS,HAVELLS
HCLTECH,HCLTECH
HDFC,HDFC
HDFCBANK,HDFCBANK
HEROMOTOCO,HEROMOTOCO
HEXAWARE,HEXAWARE
HINDALCO,HINDALCO
HINDPETRO,HINDPETRO
HINDUNILVR,HINDUNILVR
HINDZINC,HINDZINC
HUDCO,HUDCO
IBULHSGFIN,IBULHSGFIN
ICICIBANK,ICICIBANK
ICICIPRULI,ICICIPRULI
IDBI,IDBI
IDEA,IDEA
IDFC,IDFC
IDFCBANK,IDFCBANK
IGL,IGL
INDHOTEL,INDHOTEL
INDIANB,INDIANB
